Sold Price (AUD),Bedrooms,Bathrooms,Car Spaces,Land Size (m2),Travel Time to CBD (min),Has Garden,Sale Year,Sale Month,Suburb_Burwood,Suburb_Hawthorn,Suburb_Ringwood,Property Type_House,Property Type_Unit
1085000,0.4591719447681909,0.9423064972256977,0.572218164967335,0.307405524784432,1.18844601165051,1,0.5629784083986551,0.14484136487558041,1,0,0,1,0
1354500,1.3536627462646669,-0.8027055346737424,1.7321198507119329,1.9521540225411527,1.3512468351642786,1,0.5629784083986551,-0.2172620473133703,1,0,0,1,0
1185000,0.4591719447681909,-0.8027055346737424,0.572218164967335,1.428271167700123,-0.11396057645963782,1,0.5629784083986551,-1.3035722838802224,1,0,0,1,0
1500000,3.1426443492576186,0.9423064972256977,2.8920215364565305,1.081046484840371,0.7000435411092046,1,-1.6593047826486942,2.679565250198235,1,0,0,1,0
1060000,0.4591719447681909,-0.8027055346737424,0.572218164967335,0.9805340766441268,1.18844601165051,1,-1.6593047826486942,2.679565250198235,1,0,0,1,0
1650000,0.4591719447681909,-0.8027055346737424,2.8920215364565305,1.6536626285038218,1.514047658678047,1,-1.6593047826486942,2.679565250198235,1,0,0,1,0
1790000,0.4591719447681909,-0.8027055346737424,1.7321198507119329,1.4221795065973202,0.7000435411092046,1,-1.6593047826486942,2.679565250198235,1,0,0,1,0
1505000,0.4591719447681909,-0.8027055346737424,2.8920215364565305,1.583608525821591,0.8628443646229731,0,-1.6593047826486942,2.679565250198235,1,0,0,1,0
1660000,1.3536627462646669,0.9423064972256977,0.572218164967335,0.8069217352142508,0.7000435411092046,0,-1.6593047826486942,2.679565250198235,1,0,0,1,0
1562000,1.3536627462646669,2.687318529125138,0.572218164967335,0.17948064162557598,0.3744418940816676,1,-1.6593047826486942,2.3174618380092844,1,0,0,1,0
2116001,2.248153547761143,2.687318529125138,1.7321198507119329,2.640511727157854,0.3744418940816676,1,-1.6593047826486942,1.9553584258203338,1,0,0,1,0
1461000,0.4591719447681909,-0.8027055346737424,-0.5876835207772628,1.4130420149431162,1.0256451881367417,1,-1.6593047826486942,1.9553584258203338,1,0,0,1,0
1180000,0.4591719447681909,2.687318529125138,0.572218164967335,0.07896823342933196,0.3744418940816676,0,-1.6593047826486942,1.9553584258203338,1,0,0,1,0
1750000,1.3536627462646669,0.9423064972256977,2.8920215364565305,2.12881219452243,1.3512468351642786,1,-1.6593047826486942,1.9553584258203338,1,0,0,1,0
1692000,2.248153547761143,0.9423064972256977,0.572218164967335,0.7612342769432308,0.3744418940816676,0,-1.6593047826486942,1.5932550136313832,1,0,0,1,0
1500000,1.3536627462646669,-0.8027055346737424,1.7321198507119329,1.1328256042141935,0.3744418940816676,1,-1.6593047826486942,1.5932550136313832,1,0,0,1,0
2120000,1.3536627462646669,0.9423064972256977,0.572218164967335,1.5318294064477682,0.21164107056789913,1,-1.6593047826486942,1.5932550136313832,1,0,0,1,0
1275000,2.248153547761143,0.9423064972256977,0.572218164967335,1.2607504873730495,0.5372427175954361,1,-1.6593047826486942,1.5932550136313832,1,0,0,1,0
2288000,2.248153547761143,0.9423064972256977,0.572218164967335,0.7916925824572442,0.3744418940816676,0,-1.6593047826486942,1.2311516014424324,1,0,0,1,0
730000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,0.21164107056789913,0,0.5629784083986551,0.14484136487558041,1,0,0,0,1
440000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.5372427175954361,0,0.5629784083986551,-0.2172620473133703,1,0,0,0,1
814000,0.4591719447681909,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-0.2767613999734063,0,0.5629784083986551,-0.2172620473133703,1,0,0,0,1
473000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,0.7000435411092046,0,0.5629784083986551,-0.579365459502321,1,0,0,0,1
462000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.21164107056789913,0,0.5629784083986551,-0.9414688716912717,1,0,0,0,1
520000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-0.4395622234871748,0,0.5629784083986551,-0.9414688716912717,1,0,0,0,1
370000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.2767613999734063,0,0.5629784083986551,-0.9414688716912717,1,0,0,0,1
145000,-1.3298096582247612,-0.8027055346737424,-1.7475852065218607,-0.6794435738696002,-0.11396057645963782,0,0.5629784083986551,-1.3035722838802224,1,0,0,0,1
400000,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.11396057645963782,0,0.5629784083986551,-1.3035722838802224,1,0,0,0,1
417500,-0.4353188567282851,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,0.04884024705413066,0,-1.6593047826486942,2.679565250198235,1,0,0,0,1
136000,-1.3298096582247612,-0.8027055346737424,-1.7475852065218607,-0.6794435738696002,-0.11396057645963782,0,-1.6593047826486942,1.5932550136313832,1,0,0,0,1
588000,-0.4353188567282851,-0.8027055346737424,0.572218164967335,-0.6794435738696002,-0.11396057645963782,1,-1.6593047826486942,1.2311516014424324,1,0,0,0,1
620000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,-0.11396057645963782,0,-1.6593047826486942,1.2311516014424324,1,0,0,0,1
500000,-0.4353188567282851,0.9423064972256977,-0.5876835207772628,-0.6794435738696002,0.04884024705413066,0,-1.6593047826486942,1.2311516014424324,1,0,0,0,1
132000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.2767613999734063,0,-1.6593047826486942,0.8690481892534817,1,0,0,0,1
132000,-1.3298096582247612,-0.8027055346737424,-0.5876835207772628,-0.6794435738696002,-0.11396057645963782,0,-1.6593047826486942,0.8690481892534817,1,0,0,0,1
